,N1 (CN per 100 mL),N1 (CN per 100 mL),N1 (CN per 100 mL),Recovery (%),Recovery (%),Recovery (%),PMMoV (CN per mL),PMMoV (CN per mL),PMMoV (CN per mL),N1/PMMoV,N1/PMMoV,N1/PMMoV,trust
3-Aug-2020,40,52,0,2.51,,,96160,,,0.23,0.25,0,TRUE
4-Aug-2020,0,0,0,0.15,,,55040,,,0,0,0,TRUE
5-Aug-2020,0,56,0,1.83,,,108800,,,0,0.25,0,TRUE
7-Aug-2020,0,0,0,,,,11880,,,0,0,0,TRUE
8-Aug-2020,0,0,0,,,,9624,,,0,0,0,TRUE
9-Aug-2020,0,40,0,,,,8008,,,0,0.27,0,TRUE
12-Aug-2020,44,36,72,,,,11496,,,0.27,0.26,0.31,TRUE
13-Aug-2020,212,120,84,,,,5560,,,0.4,0.36,0.33,TRUE
14-Aug-2020,32,0,0,0,,,3560,,,0.27,0,0,TRUE
15-Aug-2020,36,0,0,0,,,4544,,,0.28,0,0,TRUE
16-Aug-2020,0,0,0,0,,,4408,,,0,0,0,TRUE
17-Aug-2020,112,320,152,1.14,,,5752,,,0.36,0.43,0.38,TRUE
18-Aug-2020,400,240,212,0.69,,,2216,,,0.49,0.45,0.44,TRUE
19-Aug-2020,320,228,328,1.26,,,13776,,,0.41,0.38,0.41,TRUE
20-Aug-2020,76,72,264,4.34,,,18720,,,0.3,0.3,0.39,TRUE
21-Aug-2020,104,60,80,0.15,,,27760,,,0.31,0.28,0.3,TRUE
22-Aug-2020,0,216,164,0.62,,,60000,,,0,0.34,0.33,TRUE
23-Aug-2020,76,196,280,1.03,,,21040,,,0.3,0.36,0.39,TRUE
24-Aug-2020,0,72,0,0,,,5336,,,0,0.32,0,TRUE
25-Aug-2020,0,0,72,0.09,,,5848,,,0,0,0.32,TRUE
26-Aug-2020,0,64,76,0.1,,,11760,,,0,0.3,0.31,TRUE
27-Aug-2020,64,80,76,0.1,,,5360,,,0.32,0.33,0.33,TRUE
28-Aug-2020,80,280,76,0.13,,,5592,,,0.33,0.43,0.33,TRUE
29-Aug-2020,152,0,40,1.6,,,12928,,,0.36,0,0.26,TRUE
30-Aug-2020,76,76,140,0.21,,,9024,,,0.32,0.32,0.36,TRUE
31-Aug-2020,0,132,0,0.09,,,4632,,,0,0.37,0,TRUE
1-Sep-2020,208,240,252,0.47,,,12400,,,0.38,0.39,0.39,TRUE
9-Sep-2020,0,108,0,0.25,,,16400,,,0,0.33,0,FALSE
10-Sep-2020,76,32,40,0.19,,,18000,,,0.3,0.24,0.26,FALSE
11-Sep-2020,0,0,32,0.09,,,23680,,,0,0,0.24,FALSE
14-Sep-2020,40,68,72,2.86,,,33440,,,0.25,0.28,0.28,FALSE
15-Sep-2020,480,520,440,11.89,,,24000,,,0.42,0.43,0.41,FALSE
16-Sep-2020,44,36,232,2.06,,,32320,,,0.25,0.24,0.36,TRUE
17-Sep-2020,0,32,0,11.54,,,5136,,,0,0.26,0,TRUE
18-Sep-2020,32,0,28,6.63,,,7488,,,0.26,0,0.25,TRUE
19-Sep-2020,192,68,164,6.29,,,5304,,,0.4,0.32,0.39,TRUE
20-Sep-2020,32,32,32,4.91,,,7792,,,0.26,0.26,0.26,TRUE
28-Sep-2020,0,0,0,0,,,8488,,,0,0,0,TRUE
29-Sep-2020,0,0,0,0,,,8336,,,0,0,0,TRUE
30-Sep-2020,0,0,0,0,,,11672,,,0,0,0,TRUE
1-Oct-2020,0,0,0,0,,,6416,,,0,0,0,TRUE
2-Oct-2020,0,0,0,0,,,7352,,,0,0,0,TRUE
3-Oct-2020,0,0,0,0,,,30560,,,0,0,0,TRUE
4-Oct-2020,0,0,0,0,,,8624,,,0,0,0,TRUE
5-Oct-2020,0,0,0,0,,,573,,,0,0,0,TRUE
6-Oct-2020,0,0,0,0,,,424,,,0,0,0,TRUE
7-Oct-2020,0,0,0,0,,,346,,,0,0,0,TRUE
8-Oct-2020,0,0,0,0,,,299,,,0,0,0,TRUE
10-Oct-2020,0,0,0,0,,,1608,,,0,0,0,TRUE
11-Oct-2020,0,0,0,0,,,464,,,0,0,0,TRUE
12-Oct-2020,32,0,0,0.19,,,,,,,,,TRUE
13-Oct-2020,0,0,44,0.74,,,4688,,,0,0,0.29,TRUE
14-Oct-2020,72,76,32,2,,,5048,,,0.33,0.33,0.26,TRUE
15-Oct-2020,40,36,0,0.61,,,8072,,,0.27,0.26,0,TRUE
16-Oct-2020,0,0,0,1.86,,,5032,,,0,0,0,TRUE
17-Oct-2020,0,0,0,3.66,,,7152,,,0,0,0,TRUE
18-Oct-2020,0,28,36,0.88,,,2128,,,0,0.27,0.29,TRUE
19-Oct-2020,40,40,44,1.52,,,2904,,,0.29,0.29,0.3,TRUE
20-Oct-2020,0,40,0,0.55,,,3920,,,0,0.29,0,TRUE
21-Oct-2020,0,0,0,0.16,,,2832,,,0,0,0,TRUE
22-Oct-2020,0,0,0,0.17,,,3192,,,0,0,0,TRUE
23-Oct-2020,0,0,0,0.06,,,3048,,,0,0,0,TRUE
24-Oct-2020,0,40,0,0.21,,,1600,,,0,0.31,0,TRUE
25-Oct-2020,40,0,0,0.43,,,3880,,,0.29,0,0,TRUE
